country,attraction,url,last_page_number
Cambodia,Angkor_Archaeological_Park-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d1727839-Reviews-Angkor_Archaeological_Park-Siem_Reap_Siem_Reap_Province.html#REVIEWS,286
Cambodia,Choeung_Ek_Genocidal_Center-Phnom_Penh,http://www.tripadvisor.com/Attraction_Review-g293940-d469300-Reviews-Choeung_Ek_Genocidal_Center-Phnom_Penh.html#REVIEWS,849
Cambodia,Beng_Mealea-Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g2366676-d655155-Reviews-Beng_Mealea-Siem_Reap_Province.html#REVIEWS,64
Cambodia,Tuol_Sleng_Genocide_Museum-Phnom_Penh,http://www.tripadvisor.com/Attraction_Review-g293940-d324063-Reviews-Tuol_Sleng_Genocide_Museum-Phnom_Penh.html#REVIEWS,720
Cambodia,Cambodia_Landmine_Museum-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d541872-Reviews-Cambodia_Landmine_Museum-Siem_Reap_Siem_Reap_Province.html#REVIEWS,188
Cambodia,Angkor_National_Museum-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d1908787-Reviews-Angkor_National_Museum-Siem_Reap_Siem_Reap_Province.html#REVIEWS,186
Cambodia,War_Museum_Cambodia-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d556684-Reviews-War_Museum_Cambodia-Siem_Reap_Siem_Reap_Province.html#REVIEWS,121
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d317907-Reviews-Angkor_Wat-Siem_Reap_Siem_Reap_Province.html#REVIEWS,2487
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d552507-Reviews-Bayon_Temple-Siem_Reap_Siem_Reap_Province.html#REVIEWS,1071
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325222-Reviews-Ta_Prohm-Siem_Reap_Siem_Reap_Province.html#REVIEWS,1067
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325215-Reviews-Angkor_Thom-Siem_Reap_Siem_Reap_Province.html#REVIEWS,494
Cambodia,Battambang_Bat_Caves-Battambang_Battambang_Province,http://www.tripadvisor.com/Attraction_Review-g303666-d2664524-Reviews-Battambang_Bat_Caves-Battambang_Battambang_Province.html#REVIEWS,80
Cambodia,Otres_Beach-Sihanoukville_Sihanoukville_Province,http://www.tripadvisor.com/Attraction_Review-g325573-d1451692-Reviews-Otres_Beach-Sihanoukville_Sihanoukville_Province.html#REVIEWS,193
Cambodia,Kbal_Spean-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d1019849-Reviews-Kbal_Spean-Siem_Reap_Siem_Reap_Province.html#REVIEWS,57
Cambodia,Kep_National_Park-Kep_Kep_Province,http://www.tripadvisor.com/Attraction_Review-g608456-d2510566-Reviews-Kep_National_Park-Kep_Kep_Province.html#REVIEWS,41
Cambodia,Backstreet_Academy-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d6942737-Reviews-Backstreet_Academy-Siem_Reap_Siem_Reap_Province.html#REVIEWS,39
Cambodia,Banteay_Samre-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d1019832-Reviews-Banteay_Samre-Siem_Reap_Siem_Reap_Province.html#REVIEWS,40
Cambodia,Banteay_Kdei-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d1019825-Reviews-Banteay_Kdei-Siem_Reap_Siem_Reap_Province.html#REVIEWS,28
Cambodia,Wonder_of_Angkor-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d4789534-Reviews-Wonder_of_Angkor-Siem_Reap_Siem_Reap_Province.html#REVIEWS,4
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325222-Reviews-Ta_Prohm-Siem_Reap_Siem_Reap_Province.html#REVIEWS,1067
Cambodia,Banteay_Srei-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d469308-Reviews-Banteay_Srei-Siem_Reap_Siem_Reap_Province.html#REVIEWS,401
