country,attraction,address
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,"Angkor Thom, Siem Reap, Cambodia"
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia"
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia"
Cambodia,Battambang_Bat_Caves-Battambang_Battambang_Province,"Phnom Sampeou, Battambang 02000, Cambodia"
Cambodia,Otres_Beach-Sihanoukville_Sihanoukville_Province,"Sihanoukville 18000, Cambodia"
Cambodia,Kbal_Spean-Siem_Reap_Siem_Reap_Province,"Angkor | Kulen Hills, Siem Reap, Cambodia"
Cambodia,Kep_National_Park-Kep_Kep_Province,"Bopha Prasidh Road, Kep, Cambodia"
Cambodia,Backstreet_Academy-Siem_Reap_Siem_Reap_Province,"Angkor Handicraft Association, Road 60, Trang Village, Sangkat Slorkram | 200m East of Naga Bridge, Siem Reap, Cambodia"
Cambodia,Banteay_Samre-Siem_Reap_Siem_Reap_Province,"Banteay Srei | Angkor, Siem Reap, Cambodia"
Cambodia,Banteay_Kdei-Siem_Reap_Siem_Reap_Province,"Srah Srang | Angkor, Siem Reap, Cambodia"
Cambodia,Wonder_of_Angkor-Siem_Reap_Siem_Reap_Province,"Siem reap | Siem reap, Siem Reap +85563, Cambodia"
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia"
Cambodia,Banteay_Srei-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
Cambodia,Preah_Vihear_Temple-Preah_Vihear_Province,Cambodia
Cambodia,Ta_Som-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
Cambodia,Preah_Vihear_Temple-Preah_Vihear_Province,Cambodia
Cambodia,Banteay_Samre-Siem_Reap_Siem_Reap_Province,"Banteay Srei | Angkor, Siem Reap, Cambodia"
Cambodia,Banteay_Kdei-Siem_Reap_Siem_Reap_Province,"Srah Srang | Angkor, Siem Reap, Cambodia"
Cambodia,Ta_Som-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
Cambodia,Sothy_s_Pepper_Farm-Kep_Kep_Province,"Pepper Road, Kep 9829, Cambodia"
