country,attraction,address,latitude,longitude
New_Zealand,Pancake_Rocks_and_Blowholes_Walk-Punakaiki_West_Coast_Region_South_Island," | State Highway 6, Paparoa National Park, Punakaiki 7873, New Zealand",-42.1084146,171.3363126
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,"587 Waimangu Road | Rotorua, Waimangu 3073, New Zealand",-38.2857556,176.3871029
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,"6 Rolleston Ave, Christchurch, New Zealand",-43.5323601,172.6278718
New_Zealand,Hamilton_Gardens-Hamilton_Waikato_Region_North_Island,"Hungerford Crescent | SH1 (Off Cobham Drive), Hamilton, New Zealand",-37.787001,175.279253
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,"1 Tau Henare Dr, Paihia, New Zealand",-35.2658154,174.0816129
New_Zealand,Pukekura_Park-New_Plymouth_Taranaki_Region_North_Island,"Liardet Street, New Plymouth, New Zealand",-39.0589076,174.0769276
New_Zealand,Tiritiri_Matangi_Island-Auckland_Central_North_Island,"Auckland Central, Auckland, New Zealand",-36.8484597,174.7633315
New_Zealand,Doubtful_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,"Te Anau, Fiordland National Park, New Zealand",-45.6060987,167.3607653
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,"Dunedin, New Zealand",-45.8787605,170.5027976
New_Zealand,Hokitika_Gorge_Walk-Hokitika_West_Coast_Region_South_Island,"Whitcombe Valley Road | Hokitika Gorge Scenic Reserve, West Coast, Hokitika, New Zealand",-42.9555823,171.0167027
New_Zealand,Sky_Tower-Auckland_Central_North_Island,"Corner Victoria and Federal Sts, Auckland Central, Auckland 1010, New Zealand",-36.8482556,174.7626127
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,"68 Rue Balguerie, Akaroa 7520, New Zealand",-43.8084019,172.9734867
New_Zealand,Ohau_Point_Seal_Colony-Kaikoura_Canterbury_Region_South_Island,"State Highway 1, Ohau Point, Kaikoura, New Zealand",-42.2495441,173.8254472
New_Zealand,Te_Puia-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,"Hemo Road, Rotorua, New Zealand",-38.1634748,176.2496707
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,Papua New Guinea,-6.314993,143.95555
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea",-9.4780123,147.1506542
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,"Goro Kaeaga Road, Port Moresby 121, Papua New Guinea",-9.4067679,147.1654596
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea",-4.1999648,152.1644612
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea",-9.4780123,147.1506542
Papua_New_Guinea,National_Parliament_House-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea",-9.4780123,147.1506542
Papua_New_Guinea,Rabaul_War_Cemetery-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea",-4.1999648,152.1644612
Papua_New_Guinea,Lae_War_Cemetery-Lae_Momase_Region,"Memorial Avenue, Lae 411, Papua New Guinea",-6.7215464,146.998964
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,Papua New Guinea,-6.314993,143.95555
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,"Goro Kaeaga Road, Port Moresby 121, Papua New Guinea",-9.4067679,147.1654596
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea",-4.1999648,152.1644612
Papua_New_Guinea,Kitava_Island-Trobriand_Islands_Papua_Region,Papua New Guinea,-6.314993,143.95555
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,"Angkor Thom, Siem Reap, Cambodia",13.4408305,103.859038
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia",13.3692212,103.8462062
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia",13.3783742,103.8485891
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia",13.3783742,103.8485891
Cambodia,Angkor_Archaeological_Park-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Choeung_Ek_Genocidal_Center-Phnom_Penh," | Roluos Village, Sangkat Cheung Aek, Phnom Penh, Cambodia",11.4844165,104.8987357
Cambodia,Beng_Mealea-Siem_Reap_Province,"40 km east of Angkor Wat, Cambodia",13.412469,103.866986
Cambodia,Tuol_Sleng_Genocide_Museum-Phnom_Penh," | Corner of Street 113 & St 350, Phnom Penh, Cambodia",11.5486262,104.9179648
Cambodia,Cambodia_Landmine_Museum-Siem_Reap_Siem_Reap_Province,"Angkor National Park, 7km south of Banteay Srey Temple, Siem Reap, Cambodia",13.5395626,103.945851
Cambodia,Angkor_National_Museum-Siem_Reap_Siem_Reap_Province,"968 Vithei Charles de Gaulle Blvd | Khrum 6, Siem Reap, Cambodia",13.3665731,103.8602829
Cambodia,War_Museum_Cambodia-Siem_Reap_Siem_Reap_Province,"Kaksekam Village, Sra Nge Commune, Siem Reap, Cambodia",13.3874273,103.8312266
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia",13.3670968,103.8448134
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,"Angkor Thom, Siem Reap, Cambodia",13.4408305,103.859038
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia",13.3692212,103.8462062
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia",13.3783742,103.8485891
Cambodia,Battambang_Bat_Caves-Battambang_Battambang_Province,"Phnom Sampeou, Battambang 02000, Cambodia",13.09573,103.202205
Cambodia,Otres_Beach-Sihanoukville_Sihanoukville_Province,"Sihanoukville 18000, Cambodia",10.6253016,103.5233963
Cambodia,Kbal_Spean-Siem_Reap_Siem_Reap_Province,"Angkor | Kulen Hills, Siem Reap, Cambodia",13.423807,103.8560358
Cambodia,Kep_National_Park-Kep_Kep_Province,"Bopha Prasidh Road, Kep, Cambodia",10.536089,104.355916
